2025-03-31 18:25:36 INFO: Inserting from xml\DepensesRevisions_20190501_20190531.xml
2025-03-31 18:25:36 INFO: Inserting from xml\Avis_20190601_20190630.xml
2025-03-31 19:01:13 INFO: Inserting from xml\Contrats_20190601_20190630.xml
2025-03-31 19:01:16 INFO: Inserting from xml\Depenses_20190601_20190630.xml
2025-03-31 19:01:16 INFO: Inserting from xml\AvisRevisions_20190601_20190630.xml
2025-03-31 19:08:27 INFO: Inserting from xml\ContratsRevisions_20190601_20190630.xml
2025-03-31 19:08:28 INFO: Inserting from xml\DepensesRevisions_20190601_20190630.xml
2025-03-31 19:08:28 INFO: Inserting from xml\Avis_20190701_20190731.xml
2025-03-31 19:43:50 INFO: Inserting from xml\Contrats_20190701_20190731.xml
2025-03-31 19:43:53 INFO: Inserting from xml\Depenses_20190701_20190731.xml
2025-03-31 19:43:53 INFO: Inserting from xml\AvisRevisions_20190701_20190731.xml
2025-03-31 19:46:24 INFO: Inserting from xml\ContratsRevisions_20190701_20190731.xml
2025-03-31 19:46:26 INFO: Inserting from xml\DepensesRevisions_20190701_20190731.xml
2025-03-31 19:46:26 INFO: Inserting from xml\Avis_20190801_20190831.xml
2025-03-31 20:13:14 INFO: Inserting from xml\Contrats_20190801_20190831.xml
2025-03-31 20:13:17 INFO: Inserting from xml\Depenses_20190801_20190831.xml
2025-03-31 20:13:17 INFO: Inserting from xml\AvisRevisions_20190801_20190831.xml
2025-03-31 20:15:18 INFO: Inserting from xml\ContratsRevisions_20190801_20190831.xml
2025-03-31 20:15:18 INFO: Inserting from xml\DepensesRevisions_20190801_20190831.xml
2025-03-31 20:15:18 INFO: Inserting from xml\Avis_20190901_20190930.xml
2025-03-31 20:39:53 INFO: Inserting from xml\Contrats_20190901_20190930.xml
2025-03-31 20:39:54 INFO: Inserting from xml\Depenses_20190901_20190930.xml
2025-03-31 20:39:54 INFO: Inserting from xml\AvisRevisions_20190901_20190930.xml
2025-03-31 20:43:08 INFO: Inserting from xml\ContratsRevisions_20190901_20190930.xml
2025-03-31 20:43:08 INFO: Inserting from xml\DepensesRevisions_20190901_20190930.xml
2025-03-31 20:43:08 INFO: Inserting from xml\Avis_20191001_20191031.xml
2025-03-31 21:22:43 INFO: Inserting from xml\Contrats_20191001_20191031.xml
2025-03-31 21:22:46 INFO: Inserting from xml\Depenses_20191001_20191031.xml
2025-03-31 21:22:47 INFO: Inserting from xml\AvisRevisions_20191001_20191031.xml
2025-03-31 21:28:33 INFO: Inserting from xml\ContratsRevisions_20191001_20191031.xml
2025-03-31 21:28:33 INFO: Inserting from xml\DepensesRevisions_20191001_20191031.xml
2025-03-31 21:28:33 INFO: Inserting from xml\Avis_20191101_20191130.xml
2025-03-31 22:04:24 INFO: Inserting from xml\Contrats_20191101_20191130.xml
2025-03-31 22:04:27 INFO: Inserting from xml\Depenses_20191101_20191130.xml
2025-03-31 22:04:28 INFO: Inserting from xml\AvisRevisions_20191101_20191130.xml
2025-03-31 22:11:13 INFO: Inserting from xml\ContratsRevisions_20191101_20191130.xml
2025-03-31 22:11:13 INFO: Inserting from xml\DepensesRevisions_20191101_20191130.xml
2025-03-31 22:11:13 INFO: Inserting from xml\Avis_20191201_20191231.xml
2025-03-31 22:46:30 INFO: Inserting from xml\Contrats_20191201_20191231.xml
2025-03-31 22:46:33 INFO: Inserting from xml\Depenses_20191201_20191231.xml
2025-03-31 22:46:33 INFO: Inserting from xml\AvisRevisions_20191201_20191231.xml
2025-03-31 22:51:14 INFO: Inserting from xml\ContratsRevisions_20191201_20191231.xml
2025-03-31 22:51:14 INFO: Inserting from xml\DepensesRevisions_20191201_20191231.xml
2025-03-31 22:51:15 INFO: Inserting from xml\Avis_20200101_20200131.xml
2025-03-31 23:27:44 INFO: Inserting from xml\Contrats_20200101_20200131.xml
2025-03-31 23:27:47 INFO: Inserting from xml\Depenses_20200101_20200131.xml
2025-03-31 23:27:47 INFO: Inserting from xml\AvisRevisions_20200101_20200131.xml
2025-03-31 23:32:26 INFO: Inserting from xml\ContratsRevisions_20200101_20200131.xml
2025-03-31 23:32:26 INFO: Inserting from xml\DepensesRevisions_20200101_20200131.xml
2025-03-31 23:32:27 INFO: Inserting from xml\Avis_20200201_20200229.xml
2025-03-31 23:58:58 INFO: Inserting from xml\Contrats_20200201_20200229.xml
2025-03-31 23:59:00 INFO: Inserting from xml\Depenses_20200201_20200229.xml
2025-03-31 23:59:01 INFO: Inserting from xml\AvisRevisions_20200201_20200229.xml
2025-04-01 00:03:51 INFO: Inserting from xml\ContratsRevisions_20200201_20200229.xml
2025-04-01 00:03:51 INFO: Inserting from xml\DepensesRevisions_20200201_20200229.xml
2025-04-01 00:03:51 INFO: Inserting from xml\Avis_20200301_20200331.xml
2025-04-01 00:31:32 INFO: Inserting from xml\Contrats_20200301_20200331.xml
2025-04-01 00:31:33 INFO: Inserting from xml\Depenses_20200301_20200331.xml
2025-04-01 00:31:33 INFO: Inserting from xml\AvisRevisions_20200301_20200331.xml
2025-04-01 00:36:34 INFO: Inserting from xml\ContratsRevisions_20200301_20200331.xml
2025-04-01 00:36:35 INFO: Inserting from xml\DepensesRevisions_20200301_20200331.xml
2025-04-01 00:36:36 INFO: Inserting from xml\Avis_20200401_20200430.xml
2025-04-01 01:02:44 INFO: Inserting from xml\Contrats_20200401_20200430.xml
2025-04-01 01:02:45 INFO: Inserting from xml\Depenses_20200401_20200430.xml
2025-04-01 01:02:46 INFO: Inserting from xml\AvisRevisions_20200401_20200430.xml
2025-04-01 01:06:41 INFO: Inserting from xml\ContratsRevisions_20200401_20200430.xml
2025-04-01 01:06:41 INFO: Inserting from xml\DepensesRevisions_20200401_20200430.xml
2025-04-01 01:06:41 INFO: Inserting from xml\Avis_20200501_20200531.xml
